all_countries,Mapped,Population2020,P-KM2,Med.Age
Afghanistan,Afghanistan,38928346,60,18
Albania,Albania,2877797,105,36
Algeria,Algeria,43851044,18,29
Andorra,Andorra,77265,164,N.A.
Angola,Angola,32866272,26,17
Antigua and Barbuda,Antigua and Barbuda,97929,223,34
Argentina,Argentina,45195774,17,32
Armenia,Armenia,2963243,104,35
Australia,Australia,25499884,3,38
Austria,Austria,9006398,109,43
Azerbaijan,Azerbaijan,10139177,123,32
Bahamas,Bahamas,393244,39,32
Bahrain,Bahrain,1701575,2239,32
Bangladesh,Bangladesh,164689383,1265,28
Barbados,Barbados,287375,668,40
Belarus,Belarus,9449323,47,40
Belgium,Belgium,11589623,383,42
Belize,Belize,397628,17,25
Benin,Benin,12123200,108,19
Bhutan,Bhutan,771608,20,28
Bolivia,Bolivia,11673021,11,26
Bosnia and Herzegovina,Bosnia and Herzegovina,3280819,64,43
Brazil,Brazil,212559417,25,33
Brunei,Brunei,437479,83,32
Bulgaria,Bulgaria,6948445,64,45
Burkina Faso,Burkina Faso,20903273,76,18
Cabo Verde,Cabo Verde,555987,138,28
Cambodia,Cambodia,16718965,95,26
Cameroon,Cameroon,26545863,56,19
Canada,Canada,37742154,4,41
Cape Verde,Cabo Verde,555987,138,28
Central African Republic,Central African Republic,4829767,8,18
Chad,Chad,16425864,13,17
Chile,Chile,19116201,26,35
China,China,1439323776,153,38
Colombia,Colombia,50882891,46,31
Congo (Brazzaville),,,,
Congo (Kinshasa),,,,
Costa Rica,Costa Rica,5094118,100,33
Cote d'Ivoire,Côte d'Ivoire,26378274,83,19
Croatia,Croatia,4105267,73,44
Cruise Ship,,,,
Cuba,Cuba,11326616,106,42
Cyprus,Cyprus,1207359,131,37
Czechia,Czech Republic (Czechia),10708981,139,43
Denmark,Denmark,5792202,137,42
Djibouti,Djibouti,988000,43,27
Dominica,Dominica,71986,96,N.A.
Dominican Republic,Dominican Republic,10847910,225,28
East Timor,Timor-Leste,1318445,89,21
Ecuador,Ecuador,17643054,71,28
Egypt,Egypt,102334404,103,25
El Salvador,El Salvador,6486205,313,28
Equatorial Guinea,Equatorial Guinea,1402985,50,22
Eritrea,Eritrea,3546421,35,19
Estonia,Estonia,1326535,31,42
Eswatini,Eswatini,1160164,67,21
Ethiopia,Ethiopia,114963588,115,19
Fiji,Fiji,896445,49,28
Finland,Finland,5540720,18,43
France,France,65273511,119,42
French Guiana,French Guiana,298682,4,25
Gabon,Gabon,2225734,9,23
Gambia,Gambia,2416668,239,18
Georgia,Georgia,3989167,57,38
Germany,Germany,83783942,240,46
Ghana,Ghana,31072940,137,22
Greece,Greece,10423054,81,46
Greenland,Greenland,56770,0,N.A.
Grenada,Grenada,112523,331,32
Guadeloupe,Guadeloupe,400124,237,44
Guam,Guam,168775,313,31
Guatemala,Guatemala,17915568,167,23
Guinea,Guinea,13132795,53,18
Guyana,Guyana,786552,4,27
Haiti,Haiti,11402528,414,24
Holy See,Holy See,801,2003,N.A.
Honduras,Honduras,9904607,89,24
Hungary,Hungary,9660351,107,43
Iceland,Iceland,341243,3,37
India,India,1380004385,464,28
Indonesia,Indonesia,273523615,151,30
Iran,Iran,83992949,52,32
Iraq,Iraq,40222493,93,21
Ireland,Ireland,4937786,72,38
Israel,Israel,8655535,400,30
Italy,Italy,60461826,206,47
Jamaica,Jamaica,2961167,273,31
Japan,Japan,126476461,347,48
Jordan,Jordan,10203134,115,24
Kazakhstan,Kazakhstan,18776707,7,31
Kenya,Kenya,53771296,94,20
"Korea, South",South Korea,51269185,527,44
Kosovo,,,,
Kuwait,Kuwait,4270571,240,37
Kyrgyzstan,Kyrgyzstan,6524195,34,26
Latvia,Latvia,1886198,30,44
Lebanon,Lebanon,6825445,667,30
Liberia,Liberia,5057681,53,19
Liechtenstein,Liechtenstein,38128,238,N.A.
Lithuania,Lithuania,2722289,43,45
Luxembourg,Luxembourg,625978,242,40
Madagascar,Madagascar,27691018,48,20
Malaysia,Malaysia,32365999,99,30
Maldives,Maldives,540544,1802,30
Malta,Malta,441543,1380,43
Martinique,Martinique,375265,354,47
Mauritania,Mauritania,4649658,5,20
Mauritius,Mauritius,1271768,626,37
Mayotte,Mayotte,272815,728,20
Mexico,Mexico,128932753,66,29
Moldova,Moldova,4033963,123,38
Monaco,Monaco,39242,26337,N.A.
Mongolia,Mongolia,3278290,2,28
Montenegro,Montenegro,628066,47,39
Morocco,Morocco,36910560,83,30
Mozambique,Mozambique,31255435,40,18
Namibia,Namibia,2540905,3,22
Nepal,Nepal,29136808,203,25
Netherlands,Netherlands,17134872,508,43
New Zealand,New Zealand,4822233,18,38
Nicaragua,Nicaragua,6624554,55,26
Niger,Niger,24206644,19,15
Nigeria,Nigeria,206139589,226,18
North Macedonia,North Macedonia,2083374,83,39
Norway,Norway,5421241,15,40
Oman,Oman,5106626,16,31
Pakistan,Pakistan,220892340,287,23
Panama,Panama,4314767,58,30
Papua New Guinea,Papua New Guinea,8947024,20,22
Paraguay,Paraguay,7132538,18,26
Peru,Peru,32971854,26,31
Philippines,Philippines,109581078,368,26
Poland,Poland,37846611,124,42
Portugal,Portugal,10196709,111,46
Puerto Rico,Puerto Rico,2860853,323,44
Qatar,Qatar,2881053,248,32
Republic of the Congo,DR Congo,89561403,40,17
Reunion,Réunion,895312,358,36
Romania,Romania,19237691,84,43
Russia,Russia,145934462,9,40
Rwanda,Rwanda,12952218,525,20
Saint Lucia,Saint Lucia,183627,301,34
Saint Vincent and the Grenadines,St. Vincent & Grenadines,110940,284,33
San Marino,San Marino,33931,566,N.A.
Saudi Arabia,Saudi Arabia,34813871,16,32
Senegal,Senegal,16743927,87,19
Serbia,Serbia,8737371,100,42
Seychelles,Seychelles,98347,214,34
Singapore,Singapore,5850342,8358,42
Slovakia,Slovakia,5459642,114,41
Slovenia,Slovenia,2078938,103,45
Somalia,Somalia,15893222,25,17
South Africa,South Africa,59308690,49,28
Spain,Spain,46754778,94,45
Sri Lanka,Sri Lanka,21413249,341,34
Sudan,Sudan,43849260,25,20
Suriname,Suriname,586632,4,29
Sweden,Sweden,10099265,25,41
Switzerland,Switzerland,8654622,219,43
Syria,Syria,17500658,95,26
Taiwan*,Taiwan,23816775,673,42
Tanzania,Tanzania,59734218,67,18
Thailand,Thailand,69799978,137,40
The Bahamas,Bahamas,393244,39,32
Timor-Leste,Timor-Leste,1318445,89,21
Togo,Togo,8278724,152,19
Trinidad and Tobago,Trinidad and Tobago,1399488,273,36
Tunisia,Tunisia,11818619,76,33
Turkey,Turkey,84339067,110,32
Uganda,Uganda,45741007,229,17
Ukraine,Ukraine,43733762,75,41
United Arab Emirates,United Arab Emirates,9890402,118,33
United Kingdom,United Kingdom,67886011,281,40
Uruguay,Uruguay,3473730,20,36
US,United States,331002651,36,38
Uzbekistan,Uzbekistan,33469203,79,28
Venezuela,Venezuela,28435940,32,30
Vietnam,Vietnam,97338579,314,32
Zambia,Zambia,18383955,25,18
Zimbabwe,Zimbabwe,14862924,38,19
Diamond Princess,Diamond Princess,,,
Laos,Laos,7275560,32,24
Libya,Libya,6871292,4,29
The West Bank and Gaza,State of Palestine,5101414,847,21
